depth,inclination,azimuth,dx,dy,x,y,TVD
0.0,0.0008102847180850858,3.508356506882229e-05,0.0,0.0,0.0,0.0,0.0
30.0,0.0008102847180850858,3.508356506882229e-05,-1.8369692258927886e-25,2.9999984112509144e-09,-1.8369692258927886e-25,2.9999984112509144e-09,-30.0
60.0,0.0008102847180850858,3.508356506882229e-05,-3.673938451785577e-25,5.999996822501829e-09,-3.673938451785577e-25,5.999996822501829e-09,-60.0
90.0,0.0008102847180850858,3.508356506882229e-05,-5.510907677678366e-25,8.999995233752744e-09,-5.510907677678366e-25,8.999995233752744e-09,-90.0
120.0,0.0008102847180850858,3.508356506882229e-05,-7.347876903571154e-25,1.1999993645003657e-08,-7.347876903571154e-25,1.1999993645003657e-08,-120.0
150.0,0.0008102847180850858,3.508356506882229e-05,-9.184846129463944e-25,1.499999205625457e-08,-9.184846129463944e-25,1.499999205625457e-08,-150.0
180.0,0.0008102847180850858,3.508356506882229e-05,-1.1021815355356732e-24,1.7999990467505488e-08,-1.1021815355356732e-24,1.7999990467505488e-08,-180.0
210.0,0.0008102847180850858,3.508356506882229e-05,-1.2858784581249521e-24,2.09999888787564e-08,-1.2858784581249521e-24,2.09999888787564e-08,-210.0
240.0,0.0008102847180850858,3.508356506882229e-05,-1.4695753807142309e-24,2.3999987290007315e-08,-1.4695753807142309e-24,2.3999987290007315e-08,-240.0
270.0,0.0008102847180850858,3.508356506882229e-05,-1.6532723033035098e-24,2.699998570125823e-08,-1.6532723033035098e-24,2.699998570125823e-08,-270.0
300.0,0.0008102847180850858,3.508356506882229e-05,-1.8369692258927888e-24,2.999998411250914e-08,-1.8369692258927888e-24,2.999998411250914e-08,-300.0
330.0,0.0008102847180850858,3.508356506882229e-05,-2.0206661484820677e-24,3.2999982523760055e-08,-2.0206661484820677e-24,3.2999982523760055e-08,-330.0
360.0,0.0008102847180850858,3.508356506882229e-05,-2.2043630710713463e-24,3.5999980935010976e-08,-2.2043630710713463e-24,3.5999980935010976e-08,-360.0
390.0,0.0008102847180850858,3.508356506882229e-05,-2.3880599936606253e-24,3.899997934626189e-08,-2.3880599936606253e-24,3.899997934626189e-08,-390.0
420.0,0.0008102847180850858,3.508356506882229e-05,-2.5717569162499042e-24,4.19999777575128e-08,-2.5717569162499042e-24,4.19999777575128e-08,-420.0
